Date,Open,High,Low,Close,Adj Close,Volume
Sep 25, 2026,510.00,515.00,500.00,500.00,500.00,60,521,400
Sep 24, 2026,525.00,525.00,505.00,505.00,505.00,71,715,400
Sep 23, 2026,505.00,535.00,505.00,525.00,525.00,88,739,400
Sep 22, 2026,525.00,530.00,500.00,505.00,505.00,85,320,700
Sep 21, 2026,545.00,545.00,520.00,525.00,525.00,97,851,300
Sep 18, 2026,525.00,545.00,520.00,545.00,545.00,236,808,400
Sep 17, 2026,515.00,530.00,505.00,520.00,520.00,123,655,900
Sep 16, 2026,496.00,515.00,492.00,500.00,500.00,108,854,900
Sep 15, 2026,505.00,510.00,496.00,496.00,496.00,64,350,000
Sep 14, 2026,520.00,520.00,486.00,505.00,505.00,249,145,000
Sep 11, 2026,520.00,525.00,510.00,520.00,520.00,89,371,800
Sep 10, 2026,550.00,555.00,525.00,530.00,530.00,147,177,700
Sep 9, 2026,560.00,565.00,545.00,550.00,550.00,175,864,700
Sep 8, 2026,530.00,580.00,525.00,560.00,560.00,445,559,400
Sep 7, 2026,525.00,530.00,510.00,510.00,510.00,104,017,600
Sep 4, 2026,530.00,535.00,515.00,520.00,520.00,103,448,000
Sep 3, 2026,530.00,540.00,525.00,530.00,530.00,102,859,800
Sep 2, 2026,535.00,540.00,515.00,525.00,525.00,169,441,400
Sep 1, 2026,550.00,570.00,535.00,535.00,535.00,153,194,200
Aug 31, 2026,550.00,570.00,545.00,550.00,550.00,93,003,400
Aug 28, 2026,570.00,575.00,550.00,555.00,555.00,71,481,900
Aug 27, 2026,540.00,570.00,535.00,570.00,570.00,98,942,400
Aug 26, 2026,565.00,595.00,545.00,545.00,545.00,238,088,200
Aug 24, 2026,575.00,580.00,560.00,565.00,565.00,94,696,300
Aug 21, 2026,570.00,585.00,560.00,565.00,565.00,137,856,100
Aug 20, 2026,525.00,580.00,520.00,565.00,565.00,398,801,700
Aug 19, 2026,520.00,525.00,505.00,510.00,510.00,50,389,900
Aug 18, 2026,525.00,535.00,515.00,515.00,515.00,46,810,300
Aug 14, 2026,510.00,530.00,500.00,525.00,525.00,81,941,200
Aug 13, 2026,560.00,560.00,505.00,510.00,510.00,121,287,800
Aug 12, 2026,530.00,555.00,525.00,550.00,550.00,95,660,800
Aug 11, 2026,545.00,550.00,520.00,530.00,530.00,89,511,800
Aug 10, 2026,550.00,585.00,535.00,545.00,545.00,122,294,800
Aug 7, 2026,535.00,565.00,550.00,550.00,550.00,182,060,800
Aug 6, 2026,555.00,560.00,530.00,530.00,530.00,138,329,500
Aug 5, 2026,550.00,560.00,540.00,550.00,550.00,142,757,900
Aug 4, 2026,520.00,545.00,515.00,545.00,545.00,182,344,800
Aug 3, 2026,520.00,520.00,505.00,515.00,515.00,72,975,500
Jul 31, 2026,492.00,515.00,492.00,505.00,505.00,76,890,200
Jul 30, 2026,484.00,496.00,484.00,488.00,488.00,50,653,800
Jul 29, 2026,496.00,500.00,474.00,482.00,482.00,95,781,400
Jul 28, 2026,500.00,515.00,496.00,496.00,496.00,41,481,800
Jul 27, 2026,500.00,515.00,498.00,505.00,505.00,62,108,400
Jul 24, 2026,500.00,530.00,505.00,505.00,505.00,101,970,900
Jul 23, 2026,540.00,560.00,535.00,535.00,535.00,124,454,000
Jul 22, 2026,540.00,555.00,525.00,535.00,535.00,112,368,200
Jul 21, 2026,525.00,540.00,520.00,540.00,540.00,125,965,900
Jul 20, 2026,515.00,525.00,515.00,525.00,525.00,58,486,900
Jul 17, 2026,525.00,530.00,510.00,515.00,515.00,44,914,400
Jul 16, 2026,530.00,535.00,505.00,525.00,525.00,48,812,800
Jul 15, 2026,515.00,520.00,505.00,510.00,510.00,83,260,500
Jul 14, 2026,500.00,520.00,496.00,510.00,510.00,89,404,800
Jul 13, 2026,494.00,500.00,484.00,500.00,500.00,46,083,200
Jul 10, 2026,505.00,505.00,490.00,494.00,494.00,42,645,700
Jul 9, 2026,478.00,505.00,478.00,496.00,496.00,86,954,400
Jul 8, 2026,500.00,505.00,478.00,478.00,478.00,86,779,700
Jul 7, 2026,515.00,515.00,498.00,510.00,510.00,32,357,400
Jul 6, 2026,520.00,525.00,510.00,510.00,510.00,44,780,500
Jul 3, 2026,525.00,540.00,505.00,520.00,520.00,74,105,000
Jul 2, 2026,510.00,525.00,505.00,520.00,520.00,83,549,400
Jul 1, 2026,462.00,510.00,462.00,510.00,510.00,144,014,200
Jun 30, 2026,494.00,496.00,462.00,462.00,462.00,112,998,800
Jun 29, 2026,496.00,510.00,490.00,494.00,494.00,108,912,900
Jun 26, 2026,496.00,515.00,484.00,498.00,498.00,99,767,000
Jun 25, 2026,525.00,520.00,484.00,505.00,505.00,207,329,600
Jun 24, 2026,525.00,545.00,490.00,492.00,492.00,147,390,200
Jun 23, 2026,505.00,535.00,498.00,535.00,535.00,147,119,600
Jun 22, 2026,545.00,545.00,505.00,505.00,505.00,122,341,500
Jun 19, 2026,545.00,565.00,530.00,540.00,540.00,257,517,300
Jun 18, 2026,515.00,540.00,505.00,515.00,515.00,152,990,400
Jun 17, 2026,525.00,550.00,510.00,515.00,515.00,204,638,100
Jun 15, 2026,496.00,500.00,494.00,494.00,494.00,384,052,700
Jun 12, 2026,452.00,486.00,452.00,482.00,482.00,202,671,900
Jun 11, 2026,468.00,478.00,442.00,448.00,448.00,161,354,800
Jun 10, 2026,450.00,488.00,472.00,472.00,472.00,306,080,200
Jun 9, 2026,440.00,460.00,424.00,450.00,450.00,225,055,500
Jun 8, 2026,426.00,462.00,408.00,440.00,440.00,203,960,400
Jun 5, 2026,458.00,454.00,434.00,434.00,434.00,186,244,100
Jun 4, 2026,458.00,458.00,432.00,432.00,432.00,197,605,900
Jun 3, 2026,474.00,478.00,426.00,444.00,444.00,174,554,400
Jun 2, 2026,492.00,492.00,472.00,474.00,474.00,112,248,900
May 29, 2026,476.00,494.00,464.00,478.00,478.00,160,493,800
May 28, 2026,476.00,476.00,476.00,476.00,476.00,
May 27, 2026,476.00,476.00,476.00,476.00,476.00,
May 26, 2026,496.00,510.00,468.00,476.00,476.00,173,316,900
May 25, 2026,486.00,515.00,472.00,496.00,496.00,377,112,400
May 22, 2026,440.00,484.00,408.00,482.00,482.00,603,681,500
May 21, 2026,468.00,472.00,424.00,440.00,440.00,234,624,800
May 20, 2026,472.00,498.00,424.00,460.00,460.00,592,863,600
May 19, 2026,550.00,550.00,464.00,476.00,476.00,721,706,300
May 18, 2026,580.00,580.00,505.00,540.00,540.00,315,024,800
May 15, 2026,585.00,585.00,585.00,585.00,585.00,
May 14, 2026,585.00,585.00,585.00,585.00,585.00,
May 13, 2026,600.00,615.00,585.00,585.00,585.00,88,114,700
May 12, 2026,615.00,615.00,590.00,600.00,600.00,93,168,000
May 11, 2026,585.00,665.00,560.00,615.00,615.00,233,415,500
May 8, 2026,655.00,655.00,580.00,580.00,580.00,265,645,500
May 7, 2026,655.00,665.00,635.00,655.00,655.00,105,380,200
May 6, 2026,615.00,665.00,615.00,615.00,615.00,174,974,700
May 5, 2026,670.00,670.00,660.00,675.00,675.00,72,054,400
May 4, 2026,690.00,690.00,640.00,675.00,675.00,227,934,500
Apr 30, 2026,705.00,710.00,690.00,690.00,690.00,82,903,600
Apr 29, 2026,685.00,710.00,670.00,705.00,705.00,132,576,400
Apr 28, 2026,675.00,695.00,660.00,680.00,680.00,105,909,300
Apr 27, 2026,680.00,690.00,645.00,660.00,660.00,236,008,000
